number,name,base_voltage,angle,magnitude,area,x,y,cluster,area_code,sub_region
1,bus_1000,0.55,-0.1566830930440036,1.056829623424886,1,-238,-725,2,2,CNSW
519,bus_1530,132.0,-0.3346462201549418,1.0465550815576476,1,952,-714,3,3,SNW
599,bus_1611,11.0,0.0237894364278417,1.030132168364289,1,2223,2165,0,1,NNSW
491,bus_1501,66.0,-0.1753860068041609,1.0267196963505532,1,73,-156,2,2,CNSW
227,bus_1234,132.0,-0.274736557705208,1.032454552918072,1,33,394,2,2,CNSW
605,bus_1617,66.0,0.1868094080148313,1.0244897674761004,1,2829,2850,0,1,NNSW
24,bus_1023,0.6899999999999998,0.1923056576166481,1.07713,1,1660,-1072,1,4,SNSW
204,bus_1211,220.0,0.3684251928165029,1.049850634187275,1,698,-2614,1,5,WNV
23,bus_1022,16.0,0.0897818160465449,1.02669,1,1461,-880,1,4,SNSW
160,bus_1167,220.0,0.3648242415841301,1.0263186936575068,1,844,-2351,1,5,WNV
561,bus_1573,11.0,0.0959954361360568,1.0471041781489974,1,2193,2397,0,1,NNSW
253,bus_1260,132.0,-0.3130974742641607,1.031292661911853,1,359,712,2,2,CNSW
39,bus_1040,15.4,0.5143280886297603,0.98407,1,1374,-1592,1,4,SNSW
10025,starbus_xf_1430_1502_1542_1,132.0,0.0,1.0,1,243,911,2,2,CNSW
112,bus_1117,330.0,-0.2053418060666929,1.032314710127017,1,764,27,2,2,CNSW
372,bus_1380,132.0,-0.1684260066329629,1.0480028044543583,1,808,1383,0,1,NNSW
34,bus_1034,22.0,0.2291583769654221,0.97349,1,1244,1161,2,2,CNSW
590,bus_1602,33.0,0.0933003669730849,1.1010644458909908,1,1770,1218,2,2,CNSW
55,bus_1057,0.55,0.2630645796743199,1.0686762971587205,1,651,-2373,1,5,WNV
17,bus_1016,0.6899999999999998,0.1803287242331685,1.0015320800829317,1,2806,2270,0,1,NNSW
172,bus_1179,132.0,-0.0704477602496279,1.0781271737794142,1,398,-61,2,2,CNSW
363,bus_1371,132.0,-0.2741352027491615,1.0308384915831603,1,683,-534,2,2,CNSW
550,bus_1561,22.0,0.3562218472640846,0.9996661302223264,1,686,-2685,1,5,WNV
14,bus_1013,0.6899999999999998,0.1632469722545367,1.01729,1,352,-1214,1,4,SNSW
613,bus_1625,66.0,-0.1763765010174837,1.0213552826944767,1,329,-115,2,2,CNSW
643,bus_1658,66.0,0.1445693112814023,1.0443717620104016,1,2806,2717,0,1,NNSW
510,bus_1521,11.0,-0.1566830930440029,1.0568296234248873,1,-163,-667,2,2,CNSW
257,bus_1264,132.0,-0.2885932329520835,1.0348753672946296,1,470,465,2,2,CNSW
19,bus_1018,23.0,0.2278444984306963,1.01837,1,1011,651,2,2,CNSW
197,bus_1204,132.0,0.1602823555526054,1.0286022926971743,1,2049,-1463,1,4,SNSW
401,bus_1409,132.0,-0.2312708027301944,1.018939231028172,1,-38,-133,2,2,CNSW
276,bus_1283,132.0,-0.1665582181496679,1.0513606919645264,1,872,1361,0,1,NNSW
21,bus_1020,23.0,0.2498018475900582,1.01577,1,911,407,3,3,SNW
83,bus_1088,11.5,0.0933003669730841,1.081583649477113,1,1869,1222,2,2,CNSW
582,bus_1594,66.0,0.1454838937283268,1.0449298087153656,1,2721,2689,0,1,NNSW
558,bus_1570,33.0,-0.1478277366142027,1.0400141769924005,1,691,-287,2,2,CNSW
545,bus_1556,11.0,-0.4549169277165531,1.017497121319449,1,507,-416,2,2,CNSW
3,bus_1002,23.0,-2.5116047868858574e-12,1.01556,1,752,809,2,2,CNSW
81,bus_1086,11.0,-0.3396180600083274,1.0528241558378864,1,-670,558,2,2,CNSW
303,bus_1310,132.0,-0.0885938660438682,1.0022554055171835,1,431,-841,1,4,SNSW
117,bus_1123,330.0,-0.0178246945467818,1.0381355586787646,1,554,-7,2,2,CNSW
499,bus_1509,66.0,-0.2758784093138529,1.0176131943167883,1,93,860,2,2,CNSW
176,bus_1183,132.0,-0.1596304173682301,1.0544186483825415,1,820,1294,0,1,NNSW
182,bus_1189,132.0,-0.264051977964336,1.0352964786379244,1,732,-450,2,2,CNSW
554,bus_1565,33.0,0.1632832172645837,1.077231076045599,1,1522,-1083,1,4,SNSW
623,bus_1635,33.0,-0.0110760899360571,1.0401749473564643,1,628,70,2,2,CNSW
249,bus_1256,132.0,0.0745935785942511,1.0214479622648651,1,1914,1815,0,1,NNSW
636,bus_1651,66.0,0.1967710426593403,1.0192112275241856,1,-1124,2030,0,1,NNSW
346,bus_1354,132.0,-0.2762053921778569,1.0272669468470386,1,-379,380,2,2,CNSW
638,bus_1653,11.0,-0.2898744187831922,1.0312055230014918,1,3,451,2,2,CNSW
389,bus_1397,132.0,-0.1950357222944075,1.0519327339422009,1,927,1615,0,1,NNSW
219,bus_1226,132.0,0.075886396955861,1.0199411472877478,1,1876,1777,0,1,NNSW
559,bus_1571,33.0,-0.1478143946691966,1.0399947577198565,1,592,-338,2,2,CNSW
157,bus_1164,132.0,0.1304289967950027,1.0540592497775525,1,1958,2291,0,1,NNSW
