name,number_from,name_from,base_voltage_from,angle_from,magnitude_from,area_from,number_to,name_to,base_voltage_to,angle_to,magnitude_to,area_to,line_type,rating,x_from,y_from,x_to,y_to,geometry
bus_4094-bus_4150-i_line_4124_to_4150_1_cp,1171,bus_4094,275.0,1.0117435992398853,1.0535789757876575,13,1,bus_4150,275.0,1.0039294171512556,1.057048956277603,13,ac,536.0,-2143,-2100,-2282,-1835,"LINESTRING (-2143 -2100, -2282 -1835)"
bus_4116-bus_4150-i_line_4116_to_4150_1_cp,1594,bus_4116,275.0,0.9996851012810352,1.0591811437261736,13,1,bus_4150,275.0,1.0039294171512556,1.057048956277603,13,ac,539.0,-2530,-1665,-2282,-1835,"LINESTRING (-2530 -1665, -2282 -1835)"
bus_4266-bus_4271-i_line_4266_to_4271_1_cp,6,bus_4266,66.0,1.005219776076628,1.0202665614864552,14,2,bus_4271,66.0,1.0033190916734087,1.0179792555580456,14,ac,55.00000000000001,-2234,-3018,-2313,-3113,"LINESTRING (-2234 -3018, -2313 -3113)"
bus_1309-bus_1530-i_line_1309_to_1530_1_cp,1565,bus_1309,132.0,-0.35378855887555377,1.0511167474495149,3,4,bus_1530,132.0,-0.3546414265864551,1.0511173027068492,3,ac,199.0,816,-697,952,-714,"LINESTRING (816 -697, 952 -714)"
bus_5139-bus_5143-i_line_5139_to_5143_1_cp,77,bus_5139,220.0,-0.038931778056845785,1.1000000040181128,15,5,bus_5143,220.0,-0.07246587651234816,1.093081832864612,15,ac,440.00000000000006,1012,-5664,1008,-5612,"LINESTRING (1012 -5664, 1008 -5612)"
bus_5142-bus_5143-i_line_5142_to_5143_1_cp,669,bus_5142,220.0,-0.07265296472185245,1.0946713623708404,15,5,bus_5143,220.0,-0.07246587651234816,1.093081832864612,15,ac,448.00000000000006,1013,-5622,1008,-5612,"LINESTRING (1013 -5622, 1008 -5612)"
bus_5141-bus_5143-i_line_5141_to_5143_1_cp,804,bus_5141,220.0,-0.06134971206045243,1.0959638138594958,15,5,bus_5143,220.0,-0.07246587651234816,1.093081832864612,15,ac,453.0,1060,-5659,1008,-5612,"LINESTRING (1060 -5659, 1008 -5612)"
bus_5140-bus_5143-i_line_5140_to_5143_2_cp,1735,bus_5140,220.0,-0.03883545209740679,1.1000000041805902,15,5,bus_5143,220.0,-0.07246587651234816,1.093081832864612,15,ac,434.99999999999994,976,-5663,1008,-5612,"LINESTRING (976 -5663, 1008 -5612)"
bus_4296-bus_4295-i_line_4294_to_4295_1_cp,1300,bus_4296,66.0,0.9646846837754942,1.024117188985438,13,7,bus_4295,66.0,0.9633906291493094,1.0231839153075148,13,ac,85.0,-1884,-2362,-1997,-2284,"LINESTRING (-1884 -2362, -1997 -2284)"
bus_4278-bus_4295-i_line_4278_to_4295_1_cp,1885,bus_4278,66.0,0.9640130385718999,1.0236208162241114,13,7,bus_4295,66.0,0.9633906291493094,1.0231839153075148,13,ac,112.00000000000001,-1936,-2305,-1997,-2284,"LINESTRING (-1936 -2305, -1997 -2284)"
bus_3214-bus_3213-i_line_3214_to_3256_2_cp,1211,bus_3214,110.0,-0.007646122054452157,1.0288189856803815,11,11,bus_3213,110.0,0.01335277232210524,1.0245658064948024,11,ac,210.0,-1137,2866,-1492,2904,"LINESTRING (-1137 2866, -1492 2904)"
bus_3204-bus_3496-i_line_3204_to_3496_2_cp,403,bus_3204,110.0,-0.2966196012558039,1.0512490517296518,11,12,bus_3496,110.0,-0.2925664046279844,1.0536492981037135,11,ac,153.0,-989,3482,-944,3422,"LINESTRING (-989 3482, -944 3422)"
bus_3226-bus_3496-i_line_3226_to_3496_1_cp,557,bus_3226,110.0,-0.29370597039449214,1.0533543736780457,11,12,bus_3496,110.0,-0.2925664046279844,1.0536492981037135,11,ac,133.0,-1030,3422,-944,3422,"LINESTRING (-1030 3422, -944 3422)"
bus_3334-bus_3496-i_line_3408_to_3496_1_cp,871,bus_3334,110.0,-0.30602547041021233,1.0458260475670444,11,12,bus_3496,110.0,-0.2925664046279844,1.0536492981037135,11,ac,118.0,-1391,3478,-944,3422,"LINESTRING (-1391 3478, -944 3422)"
bus_3203-bus_3496-i_line_3203_to_3496_3_cp,1316,bus_3203,110.0,-0.2970508546099401,1.051363422175372,11,12,bus_3496,110.0,-0.2925664046279844,1.0536492981037135,11,ac,152.0,-995,3510,-944,3422,"LINESTRING (-995 3510, -944 3422)"
bus_3205-bus_3496-i_line_3205_to_3496_1_cp,1769,bus_3205,110.0,-0.2963870903178795,1.0517165692573855,11,12,bus_3496,110.0,-0.2925664046279844,1.0536492981037135,11,ac,152.0,-1012,3485,-944,3422,"LINESTRING (-1012 3485, -944 3422)"
bus_1354-bus_1234-i_line_1354_to_1370_1_cp,187,bus_1354,132.0,-0.33381251870954814,1.0361546029517357,2,14,bus_1234,132.0,-0.3316535946862748,1.0366595591793213,2,ac,130.0,-379,380,33,394,"LINESTRING (-379 380, 33 394)"
bus_1354-bus_1234-i_line_1355_to_1370_1_cp,187,bus_1354,132.0,-0.33381251870954814,1.0361546029517357,2,14,bus_1234,132.0,-0.3316535946862748,1.0366595591793213,2,ac,278.0,-379,380,33,394,"LINESTRING (-379 380, 33 394)"
bus_1191-bus_1234-i_line_1191_to_1234_1_cp,1059,bus_1191,132.0,-0.33456940802064333,1.06298,2,14,bus_1234,132.0,-0.3316535946862748,1.0366595591793213,2,ac,276.0,313,384,33,394,"LINESTRING (313 384, 33 394)"
bus_1321-bus_1234-i_line_1321_to_1370_1_cp,1901,bus_1321,132.0,-0.3333619374425046,1.0363881380459672,2,14,bus_1234,132.0,-0.3316535946862748,1.0366595591793213,2,ac,137.0,-293,402,33,394,"LINESTRING (-293 402, 33 394)"
bus_4320-bus_4323-i_line_4320_to_4323_1_cp,819,bus_4320,66.0,0.9764712177151832,1.0770374571016956,13,17,bus_4323,66.0,0.9742739182362796,1.0700695957190935,13,ac,76.0,-1945,-2363,-1926,-2226,"LINESTRING (-1945 -2363, -1926 -2226)"
bus_4321-bus_4323-i_line_4321_to_4323_1_cp,1190,bus_4321,66.0,0.9747143365935771,1.0650803808057347,13,17,bus_4323,66.0,0.9742739182362796,1.0700695957190935,13,ac,73.0,-1880,-2134,-1926,-2226,"LINESTRING (-1880 -2134, -1926 -2226)"
bus_4276-bus_4279-i_Dec23_line_4276_to_4279_1_dec,1780,bus_4276,66.0,0.9769358022991873,1.0227060216853843,13,18,bus_4279,66.0,0.9669450610710372,1.022934109039757,13,ac,111.00000000000001,-2075,-2558,-2083,-2441,"LINESTRING (-2075 -2558, -2083 -2441)"
bus_4260-bus_4265-i_line_4260_to_4265_1_cp,1605,bus_4260,66.0,1.0143770902429645,1.00433961956117,14,20,bus_4265,66.0,1.014753436167427,1.0029647594963729,14,ac,134.0,-2127,-4027,-2167,-3907,"LINESTRING (-2127 -4027, -2167 -3907)"
bus_4258-bus_4265-i_line_4264_to_4265_1_cp,1673,bus_4258,66.0,1.0159302473044904,1.0023286418696917,14,20,bus_4265,66.0,1.014753436167427,1.0029647594963729,14,ac,113.99999999999999,-2137,-3869,-2167,-3907,"LINESTRING (-2137 -3869, -2167 -3907)"
bus_3540-bus_1304-i_2,913,bus_3540,132.0,-0.11037384958492917,1.073319206756403,9,21,bus_1304,132.0,-0.6076111973944772,1.073001075665729,11,dc,71.97905,1432,4487,-1185,2158,"LINESTRING (1432 4487, -1185 2158)"
bus_4167-bus_4168-i_line_4167_to_4168_1_cp,1633,bus_4167,132.0,0.9919542458196449,1.0526102065465093,12,26,bus_4168,132.0,0.9919924829132608,1.0519500807160378,12,ac,113.99999999999999,-3222,-1469,-3294,-1435,"LINESTRING (-3222 -1469, -3294 -1435)"
bus_1587-bus_2293-i_line_1587_to_2293_1_cp,1248,bus_1587,66.0,-0.12251305276303887,1.0521536082578358,4,27,bus_2293,66.0,-0.14277589570925006,1.0270381226653544,4,ac,56.00000000000001,1681,-2347,779,-2299,"LINESTRING (1681 -2347, 779 -2299)"
bus_1167-bus_1211-i_line_1167_to_1211_1_cp,31,bus_1167,220.0,-0.08919936795519867,1.0425849666554408,5,28,bus_1211,220.0,-0.05172192481319693,1.0879857865708882,5,ac,320.0,844,-2351,698,-2614,"LINESTRING (844 -2351, 698 -2614)"
bus_4209-bus_4210-i_line_4209_to_4210_1_cp,101,bus_4209,132.0,0.8630645432238345,0.9837325071748986,13,33,bus_4210,132.0,0.843764031304218,0.9756478861167076,13,ac,169.0,-1518,-1647,-1444,-1776,"LINESTRING (-1518 -1647, -1444 -1776)"
bus_4241-bus_4248-i_line_4241_to_4248_1_cp,1973,bus_4241,66.0,0.9861696958093464,1.0250177376913059,13,34,bus_4248,66.0,0.983084713065989,1.023052143156055,13,ac,119.0,-2313,-2476,-2385,-2413,"LINESTRING (-2313 -2476, -2385 -2413)"
bus_2251-bus_2256-i_line_2251_to_2256_1_cp,422,bus_2251,66.0,-0.12712947268472116,1.046782295747608,6,37,bus_2256,66.0,-0.17203222214392186,1.0133005547664948,6,ac,46.0,923,-2947,907,-2953,"LINESTRING (923 -2947, 907 -2953)"
bus_2162-bus_2179-i_line_2162_to_2179_1_cp,734,bus_2162,220.0,-0.015237040798240082,1.0797691229576831,5,39,bus_2179,220.0,-0.07820535763474876,1.0806756945492382,5,ac,303.0,237,-3162,280,-3311,"LINESTRING (237 -3162, 280 -3311)"
bus_2145-bus_2179-i_line_2145_to_2179_1_cp,1894,bus_2145,220.0,-0.24061856470367618,1.0736215324464824,6,39,bus_2179,220.0,-0.07820535763474876,1.0806756945492382,5,ac,301.0,326,-3443,280,-3311,"LINESTRING (326 -3443, 280 -3311)"
bus_1190-bus_1260-i_line_1190_to_1266_4_cp,779,bus_1190,132.0,-0.33837999421331977,1.0585463079025563,2,41,bus_1260,132.0,-0.3608115806498309,1.06298,2,ac,285.0,529,439,359,712,"LINESTRING (529 439, 359 712)"
bus_1190-bus_1260-i_line_1190_to_1266_1_cp,779,bus_1190,132.0,-0.33837999421331977,1.0585463079025563,2,41,bus_1260,132.0,-0.3608115806498309,1.06298,2,ac,287.0,529,439,359,712,"LINESTRING (529 439, 359 712)"
bus_1191-bus_1260-i_line_1191_to_1266_3_cp,1059,bus_1191,132.0,-0.33456940802064333,1.06298,2,41,bus_1260,132.0,-0.3608115806498309,1.06298,2,ac,276.0,313,384,359,712,"LINESTRING (313 384, 359 712)"
bus_1191-bus_1260-i_line_1191_to_1266_2_cp,1059,bus_1191,132.0,-0.33456940802064333,1.06298,2,41,bus_1260,132.0,-0.3608115806498309,1.06298,2,ac,284.0,313,384,359,712,"LINESTRING (313 384, 359 712)"
bus_5169-bus_5170-i_line_5169_to_5170_2_cp,702,bus_5169,220.0,-0.15290180236697345,1.06407088421318,15,44,bus_5170,220.0,-0.20294742675182406,1.055535028273908,15,ac,322.0,1051,-5654,1031,-5503,"LINESTRING (1051 -5654, 1031 -5503)"
bus_5169-bus_5170-i_line_5169_to_5170_1_cp,702,bus_5169,220.0,-0.15290180236697345,1.06407088421318,15,44,bus_5170,220.0,-0.20294742675182406,1.055535028273908,15,ac,323.0,1051,-5654,1031,-5503,"LINESTRING (1051 -5654, 1031 -5503)"
bus_5150-bus_5170-i_line_5153_to_5170_2_cp,1507,bus_5150,220.0,-0.28993478731090694,1.0569199095041097,15,44,bus_5170,220.0,-0.20294742675182406,1.055535028273908,15,ac,326.0,904,-5344,1031,-5503,"LINESTRING (904 -5344, 1031 -5503)"
bus_5150-bus_5170-i_line_5153_to_5170_1_cp,1507,bus_5150,220.0,-0.28993478731090694,1.0569199095041097,15,44,bus_5170,220.0,-0.20294742675182406,1.055535028273908,15,ac,315.0,904,-5344,1031,-5503,"LINESTRING (904 -5344, 1031 -5503)"
bus_2199-bus_2207-i_line_2199_to_2207_1_cp,245,bus_2199,500.0,-0.3330326234488831,1.0730997952876256,6,47,bus_2207,500.0,-0.3607619935671586,1.0628131502887084,6,ac,1569.0,1007,-3430,729,-3348,"LINESTRING (1007 -3430, 729 -3348)"
bus_2199-bus_2207-i_line_2199_to_2207_2_cp,245,bus_2199,500.0,-0.3330326234488831,1.0730997952876256,6,47,bus_2207,500.0,-0.3607619935671586,1.0628131502887084,6,ac,1518.0,1007,-3430,729,-3348,"LINESTRING (1007 -3430, 729 -3348)"
bus_2206-bus_2207-i_line_2206_to_2207_1_cp,1535,bus_2206,500.0,-0.3824977575895341,1.06298,6,47,bus_2207,500.0,-0.3607619935671586,1.0628131502887084,6,ac,1552.0,880,-3494,729,-3348,"LINESTRING (880 -3494, 729 -3348)"
bus_2201-bus_2207-i_line_2201_to_2207_1_cp,1590,bus_2201,500.0,-0.36156800621816426,1.0579283898863827,6,47,bus_2207,500.0,-0.3607619935671586,1.0628131502887084,6,ac,1516.0,574,-3521,729,-3348,"LINESTRING (574 -3521, 729 -3348)"
bus_3614-bus_3615-i_line_3614_to_3615_1_cp,1282,bus_3614,275.0,-0.06901701155337339,1.07688371479203,10,48,bus_3615,275.0,-0.025526222709618678,1.0805926920813815,10,ac,569.0,895,4111,621,3932,"LINESTRING (895 4111, 621 3932)"
