name,bus_name,rating,active_power,reactive_power,prime_mover_type,comp_type,x,y,base_kv,area
bus1646,bus_2295,0.0,0.6974425494021957,0.16465551989224816,0,PowerLoad,400,-3956,66.0,6
bus1714,bus_2337,0.0,0.06840015002572246,0.016783134569643428,0,PowerLoad,513,-3245,11.0,6
bus1498,bus_4074,0.0,0.00836731136500318,-0.011839203960858635,0,PowerLoad,-921,-2853,33.0,14
gen_RUGBYR1,bus_3549,0.0,0.0,-0.7957050950398917,21,RenewableDispatch,-915,4345,275.0,9
gen_KEPSF1,bus_3549,0.0,0.0,-0.7957050950398918,21,RenewableDispatch,-915,4345,275.0,9
bus1157,bus_1513,0.0,0.03987224314389305,0.0057216706029186125,0,PowerLoad,710,62,66.0,2
bus1514,bus_3389,0.0,0.2948306114853882,0.07205376149574677,0,PowerLoad,-1451,2464,11.0,11
bus4,bus_1530,0.0,0.23390227491710314,-0.04468757126376361,0,PowerLoad,952,-714,132.0,3
bus1368,bus_4409,0.0,0.02418265365158555,0.00933265444916624,0,PowerLoad,-2543,-3249,11.0,14
bus1288,bus_2332,0.0,1.223834920103195,0.4055512912449421,0,PowerLoad,765,-2329,22.0,5
bus996,bus_4403,0.0,1.0054649211742748,0.08087304622937355,0,PowerLoad,-3248,-1756,11.0,12
bus1773,bus_4412,0.0,0.015161966898314328,-0.0105052456476951,0,PowerLoad,-2075,-2656,11.0,13
bus1352,bus_2140,0.0,0.2899776731461731,0.11433713745025965,0,PowerLoad,1017,-4276,220.0,7
gen_1080_8,bus_1080,1.6079171907400556,1.0000000096478565,-0.1245091745120508,22,RenewableDispatch,1435,-1548,12.5,4
bus1649,bus_1080,0.0,0.0003214960607465735,0.0003285647785307775,0,PowerLoad,1435,-1548,12.5,4
bus522,bus_5215,0.0,0.29570320325252014,0.05383033691844965,0,PowerLoad,711,-5677,22.0,15
gen_5037_2,bus_5037,0.5769991334482227,0.700000009772817,-0.13751895350899956,16,HydroDispatch,1044,-5875,16.0,15
gen_5037_1,bus_5037,0.5769991334482227,0.700000009772817,-0.13751895350899956,16,HydroDispatch,1044,-5875,16.0,15
bus1484,bus_3258,0.0,0.01770278062613678,-0.07081333580263575,0,PowerLoad,-631,5997,132.0,8
BBATTERY1,bus_3482,1.0,1.0,0.0,1,EnergyReservoirStorage,-982,5236,132.0,8
bus524,bus_3026,0.0,0.101165503706338,0.020697092522621703,0,PowerLoad,180,3842,33.0,9
gen_1173_1,bus_1173,0.0273906388320029,0.0,-0.4212696568727615,21,RenewableDispatch,2300,2524,132.0,1
bus401,bus_5210,0.0,0.0438565947900068,0.012435550755156162,0,PowerLoad,712,-6485,11.0,15
gen_MSTUART2,bus_3280,0.4654274682836907,-8.515848799878692e-9,-0.1108248833417338,22,RenewableDispatch,631,4333,132.0,9
gen_DULAWF1,bus_3280,0.9118865969469508,-8.821856916465007e-9,0.012738575734369002,22,RenewableDispatch,631,4333,132.0,9
gen_MSTUART3,bus_3280,0.4654274682836907,-8.515848799878692e-9,-0.1108248833417338,22,RenewableDispatch,631,4333,132.0,9
bus591,bus_3280,0.0,0.2714347145818768,0.04396264965769334,0,PowerLoad,631,4333,132.0,9
Shallow_storage_13,bus_4125,0.15795799999999996,0.15795799999999996,0.0,1,EnergyReservoirStorage,-2074,-2389,275.0,13
Shallow_storage_39,bus_4125,0.055160000000000015,0.055160000000000015,0.0,1,EnergyReservoirStorage,-2074,-2389,275.0,13
Shallow_storage_8,bus_4125,0.159942,0.159942,0.0,1,EnergyReservoirStorage,-2074,-2389,275.0,13
Shallow_storage_30,bus_4125,0.15162999999999996,0.15162999999999996,0.0,1,EnergyReservoirStorage,-2074,-2389,275.0,13
Shallow_storage_2,bus_4125,0.158738,0.158738,0.0,1,EnergyReservoirStorage,-2074,-2389,275.0,13
TIB1,bus_4125,1.6,1.6,0.0,1,EnergyReservoirStorage,-2074,-2389,275.0,13
Shallow_storage_28,bus_4125,0.15042599999999998,0.15042599999999998,0.0,1,EnergyReservoirStorage,-2074,-2389,275.0,13
Shallow_storage_20,bus_4125,0.15295799999999996,0.15295799999999996,0.0,1,EnergyReservoirStorage,-2074,-2389,275.0,13
Shallow_storage_32,bus_4125,0.12535599999999994,0.12535599999999994,0.0,1,EnergyReservoirStorage,-2074,-2389,275.0,13
Shallow_storage_35,bus_4125,0.08655999999999998,0.08655999999999998,0.0,1,EnergyReservoirStorage,-2074,-2389,275.0,13
gen_3109_1,bus_3108,0.0,0.0,-0.2845722980519717,21,RenewableDispatch,-693,5928,132.0,8
bus1656,bus_4454,0.0,0.33406244209156877,0.15518910902897262,0,PowerLoad,-2158,-2672,11.0,13
bus1129,bus_1373,0.0,0.4454952327614518,0.23403324368590575,0,PowerLoad,1380,-431,132.0,3
bus367,bus_1519,0.0,0.018286507565529523,0.006885670152499978,0,PowerLoad,-62,-589,11.0,2
gen_5233_3,bus_5233,0.2174349746690133,0.4000000097693037,-0.0089620315412714,22,RenewableDispatch,769,-6046,11.0,15
gen_2058_5,bus_2058,0.38671057102386736,-6.698170243052383e-9,0.10000000632865702,22,RenewableDispatch,-267,-3784,0.6899999999999998,5
bus1478,bus_3433,0.0,0.0038769911428520962,0.003917465864496958,0,PowerLoad,-1287,5502,6.6,8
bus1586,bus_4460,0.0,0.07583721081616665,0.016656288749055843,0,PowerLoad,-1886,-2512,11.0,14
bus689,bus_1555,0.0,0.6430612718955849,0.2609906546330928,0,PowerLoad,1451,-458,11.0,3
bus1031,bus_4419,0.0,0.41327560283461906,0.12786986152462387,0,PowerLoad,-2569,-2611,11.0,13
gen_CSPVPS1,bus_3560,0.47216256734307094,0.0,-0.795705095039892,21,RenewableDispatch,-587,3475,275.0,11
gen_HUGSF1,bus_3560,0.0,0.0,-0.7957050950398918,21,RenewableDispatch,-587,3475,275.0,11
bus1667,bus_1215,0.0,0.6906960838338734,0.3620056863038094,0,PowerLoad,876,-435,132.0,3
bus1739,bus_2002,0.0,-0.12385293517922485,0.0,0,PowerLoad,51,-4179,0.6899999999999998,6
bus695,bus_2264,0.0,1.331409404413965,0.48357260743450053,0,PowerLoad,1031,-3962,66.0,7
bus1670,bus_2219,0.0,0.06921790101196058,0.036600460779604514,0,PowerLoad,120,-4188,66.0,6
gen_1034_1,bus_1034,1.9021185697149476,3.3011360695904814,-0.31143663760338725,4,ThermalStandard,1244,1161,22.0,2
bus52,bus_1034,0.0,0.03684675741112077,0.020819849741858246,0,PowerLoad,1244,1161,22.0,2
bus43,bus_3304,0.0,0.25286080576077447,0.2949028993366579,0,PowerLoad,138,3156,11.0,11
bus921,bus_1127,0.0,0.10475446332740466,-0.020930357390491233,0,PowerLoad,433,-576,132.0,2
bus128,bus_2236,0.0,0.6804361970393376,0.10507952789384747,0,PowerLoad,324,-3947,66.0,6
bus1804,bus_4443,0.0,0.02226026079791033,0.0069104870967347945,0,PowerLoad,-2318,-3521,11.0,14
gen_2325_2,bus_2325,0.32425196535518513,0.7000000097891392,0.16946884747641233,22,RenewableDispatch,967,-3314,10.5,6
bus1921,bus_2325,0.0,0.00127104279058853,0.0008061660311037892,0,PowerLoad,967,-3314,10.5,6
bus891,bus_4300,0.0,0.005844774669566752,-0.0006703015158918303,0,PowerLoad,-1720,-2576,66.0,14
gen_5045_1,bus_5045,0.8552308186018672,0.9000000097459946,0.031108554837098446,16,HydroDispatch,2045,-5746,1.0,15
gen_3656_1,bus_3656,3.7741935271721117,3.930555683056157,-0.8800174451277207,20,ThermalStandard,422,2892,19.0,11
gen_3656_2,bus_3656,3.7741935271721117,3.930555683056157,-0.8800174451277207,20,ThermalStandard,422,2892,19.0,11
bus1219,bus_3656,0.0,0.44107140112431287,0.33115115395737843,0,PowerLoad,422,2892,19.0,11
gen_2060_1,bus_2060,0.4509552213797987,1.1000000105156875,0.1999996290331235,22,RenewableDispatch,1089,-3056,11.5,6
bus1692,bus_2060,0.0,0.0005407515131767589,0.0005611509350893348,0,PowerLoad,1089,-3056,11.5,6
gen_4083_4,bus_4083,0.5801339555142916,-9.690878810778837e-9,0.0015256767998686,22,RenewableDispatch,-908,-3252,1.0,14
bus1002,bus_4340,0.0,0.010461288060542579,0.003007395623502545,0,PowerLoad,-1008,-2283,33.0,14
gen_BAKING1,bus_3002,0.16331269976336807,0.0,-0.7957050950398918,21,RenewableDispatch,-1218,5893,132.0,8
CAPBES1,bus_1365,1.0,1.0,0.0,1,EnergyReservoirStorage,816,-1464,132.0,4
bus1997,bus_4442,0.0,0.038866711218976446,0.01020148710473842,0,PowerLoad,-2244,-3630,11.0,14
gen_BRAEMAR2,bus_3121,0.9514742513955986,-8.515848799878692e-9,-0.1108248833417338,22,RenewableDispatch,-514,5595,66.0,9
gen_BRAEMAR6,bus_3121,0.9514742513955986,-8.515848799878692e-9,-0.1108248833417338,22,RenewableDispatch,-514,5595,66.0,9
gen_BRAEMAR7,bus_3121,0.9514742513955986,-8.515848799878692e-9,-0.1108248833417338,22,RenewableDispatch,-514,5595,66.0,9
gen_BRAEMAR3,bus_3121,0.9514742513955986,-8.515848799878692e-9,-0.1108248833417338,22,RenewableDispatch,-514,5595,66.0,9
gen_BRAEMAR5,bus_3121,0.9514742513955986,-8.515848799878692e-9,-0.1108248833417338,22,RenewableDispatch,-514,5595,66.0,9
gen_BRAEMAR1,bus_3121,0.9514742513955986,-8.515848799878692e-9,-0.1108248833417338,22,RenewableDispatch,-514,5595,66.0,9
bus659,bus_3121,0.0,-0.030522327925917015,0.0394563665118157,0,PowerLoad,-514,5595,66.0,9
bus1104,bus_3287,0.0,3.0630988503915173,0.5335151989728093,0,PowerLoad,1311,4487,132.0,10
gen_2040_1,bus_2040,0.8579509418341494,2.100000012257214,0.1884007473516043,4,ThermalStandard,440,-4194,15.75,6
gen_2040_3,bus_2040,0.8579509418341494,2.100000012257214,0.1884007473516043,4,ThermalStandard,440,-4194,15.75,6
gen_2040_2,bus_2040,0.8579509418341494,2.100000012257214,0.1884007473516043,4,ThermalStandard,440,-4194,15.75,6
bus1825,bus_5202,0.0,0.10550626323284834,0.03511832303953921,0,PowerLoad,941,-6397,11.0,15
bus1723,bus_5177,0.0,0.38246733471552924,0.12077798006764537,0,PowerLoad,981,-6261,33.0,15
gen_4051_1,bus_4051,1.4227288077132207,6.791209800197034e-8,-0.19999975213340584,22,RenewableDispatch,-3008,-349,0.6899999999999998,12
