area,base_kv,bus_i,name,state,va,vm,x,y,number,angle,magnitude
4,330.0,1766,bus_1114,1,-0.0993605201357889,1.0311465188063351,1232.0,-816.0,1766,-0.0619952050419505,1.0027273178742424
1,132.0,1886,bus_1630,1,-0.2438117628984174,1.0684991139826103,907.0,1571.0,1886,-0.0627916445697861,1.119069620337553
13,275.0,1,bus_4150,4,1.0039294171512556,1.057048956277603,-2282.0,-1835.0,1,0.1415612765670432,1.565749443475364
4,66.0,519,bus_1645,1,-0.1168824573022422,1.0678291298735878,861.0,-1721.0,519,0.1282245438866213,1.4702679981046325
15,110.0,788,bus_5124,5,-0.1882782838554661,1.0118123615229715,1223.0,-5742.0,788,0.6022773399669181,1.0157818825335296
8,132.0,1164,bus_3329,3,-0.5117647967699998,1.0105318482823065,-1187.0,7268.0,1164,-0.2041217404648537,1.0105317604020618
13,11.5,774,bus_4029,4,0.9825374357111576,1.0587801210150665,-2227.0,-2760.0,774,0.1138430814020189,1.2958160640806025
4,132.0,1881,bus_1479,1,-0.0925728471311933,1.0680364430731994,893.0,-1656.0,1881,0.1391023670064428,1.4600741276475109
7,20.0,1907,bus_2092,2,-0.1946206928707349,1.0999999493878143,1230.0,-3851.0,1907,0.1653100082158154,1.2570215331326964
4,330.0,599,starbus_xf_2191_2020_2021_7,2,0.0295139406435041,0.9990258493550974,1050.0,-1889.0,599,0.2508631099806907,1.0037839218475308
5,66.0,491,bus_2240,2,-0.2342526790254492,1.017332979215246,94.0,-3685.0,491,0.0249464468608057,1.3689610865911062
9,132.0,1195,bus_3120,3,-0.1815024607451104,1.0837223132049518,-35.0,5511.0,1195,0.0485519565262787,1.083522646105119
15,110.0,1470,bus_5064,5,-0.1733858992415904,1.0582161250529274,2492.0,-5528.0,1470,0.7509225936996318,1.0719331806596046
7,66.0,1377,bus_2260,2,-0.3445055596501761,1.0497066299904514,1368.0,-4310.0,1377,0.1334896742577264,1.2076564223697268
8,11.0,228,bus_3448,3,-0.5173020080575416,1.005618625428871,-1367.0,7466.0,228,-0.2097245431951746,1.0086250969496209
2,23.0,332,bus_1005,1,0.1333164770255923,0.9657583944729988,662.0,546.0,332,-0.0492583605043226,1.0165860998242449
2,11.0,190,bus_1653,1,-0.3481659006010289,1.053443350355622,3.0,451.0,190,-0.2264087791269379,1.0773881526558828
14,33.0,227,bus_4394,4,0.2623121367479092,1.056360156557935,-882.0,-2787.0,227,0.2678238724203083,1.1482437165246355
6,220.0,980,bus_2171,2,-0.4326226046857089,1.0319063441111942,782.0,-3231.0,980,0.113813472413725,1.1755821061867942
5,220.0,1935,starbus_xf_2077_2205_2347_1,2,-0.2499793196783429,0.9954329258483136,-399.0,-3284.0,1935,0.0293688324774432,1.3239651535783148
6,220.0,1894,bus_2145,2,-0.2406185647036761,1.0736215324464824,476.0,-2743.0,1894,0.1513725830172569,1.5736956244114422
4,330.0,1305,starbus_xf_2191_2027_2028_3,2,0.0388113797295503,0.9952041254178184,759.0,-1979.0,1305,0.2776385883455154,1.0014032491738305
15,1.0,1880,bus_5045,5,0.2314841622723324,1.1000000091129511,2845.0,-5746.0,1880,1.1458104424057585,1.1000003628601411
14,132.0,297,starbus_xf_4220_4074_4498_3,4,0.3435326738081234,1.0585215010789335,-911.0,-2853.0,297,0.2696022503805418,1.144728241724574
9,132.0,605,bus_3279,3,-0.062886113352562,1.0659398713027597,1069.0,4242.0,605,-0.2958777874869369,1.065987668328476
14,66.0,1106,bus_4273,4,1.0021150508516676,1.0186033177045672,-2347.0,-3142.0,1106,0.1139779943399031,1.494890358560597
11,11.0,24,bus_3124,3,-0.4165081564023183,1.045968391712119,-874.0,2374.0,24,-0.2929040539791051,1.0370613304671672
11,110.0,1783,bus_3504,3,-0.3255137120306017,1.0462500904038097,21.0,2780.0,1783,-0.2138216002665729,0.9952497334174872
12,0.6899999999999998,928,bus_4023,4,1.1799395348207653,1.004227997961177,-3049.0,-1272.0,928,0.1330649282520309,1.5484965492784255
14,66.0,204,bus_4261,4,0.9749228198544762,1.0449602915231289,-1550.0,-3288.0,204,0.123033636120369,1.484381921389414
9,275.0,416,bus_3604,3,-0.0176365890259877,1.0720741302873895,-580.0,4673.0,416,0.1468267508723928,1.060861048562606
14,11.0,23,bus_4467,4,0.9314068546626756,1.0229433629142866,-1686.0,-3006.0,23,0.1179652819845963,1.4650498817175217
9,132.0,160,bus_3184,3,0.0208121587847147,1.0685520585292911,-982.0,4608.0,160,0.1202479649714371,1.0664679410343978
9,110.0,561,bus_3017,3,-0.3260726260658006,1.048103357981525,-242.0,4092.0,561,-0.086798475521457,1.0681653676957683
2,132.0,859,bus_1201,1,-0.1711558328800133,1.0670323508868316,1053.0,1146.0,859,-0.0236340806664017,1.1119738881350665
15,11.0,1825,bus_5202,5,-0.1777389385120621,1.0399313826453287,1741.0,-6397.0,1825,0.4086782235584577,1.036254310994546
1,66.0,1863,bus_1572,1,-0.1381233435319895,1.0767856010868533,2213.0,2386.0,1863,-0.0236483949708005,1.094908637600368
15,110.0,1941,bus_5080,5,-0.0571537704076435,1.0474235580439657,2033.0,-6112.0,1941,0.5751380353968942,1.0459131339293883
14,66.0,891,bus_4300,4,0.970992885212525,1.0444535829960078,-1720.0,-2576.0,891,0.1242664232904905,1.465185606500122
13,11.0,1879,bus_4477,4,0.9266323936488244,1.0513660925174404,-1971.0,-2187.0,1879,-0.0277611481478676,1.3289936181411035
15,110.0,815,bus_5068,5,-0.1351634775687341,1.0414933291409048,1183.0,-5832.0,815,0.9745521899962576,0.8991502733680549
9,66.0,981,bus_3122,3,-0.1035647126615954,1.0762895414593605,-835.0,5018.0,981,0.1651072931433251,1.0882878164086855
12,132.0,253,bus_4171,4,0.9976959698073836,1.028262203181441,-2650.0,-1357.0,253,0.0528070823389325,1.4492419560519294
6,220.0,916,starbus_xf_2145_2243_2306_3,2,-0.3088160842498759,1.0105068020310408,343.0,-3026.0,916,0.1300528968123181,1.4986243833689126
10,275.0,1282,bus_3614,3,-0.0690170115533733,1.07688371479203,1395.0,4111.0,1282,-0.5647363761352681,0.8267720483579353
11,275.0,1429,bus_3546,3,-0.2649832119896265,1.056741713886978,-481.0,2560.0,1429,-0.0145006311587347,1.225220821768745
5,220.0,39,bus_2179,2,-0.0782053576347487,1.0806756945492382,430.0,-2611.0,39,0.1153119484428227,1.3752591739210154
1,11.0,843,bus_1612,1,-0.1705562111314155,1.0565794619901951,2233.0,2144.0,843,-0.0404421418244115,1.0895617387428242
7,11.0,1588,bus_2069,2,-0.3386437154329406,1.0676253716493709,1355.0,-4754.0,1588,0.1850099294398729,1.067625370216398
15,110.0,112,bus_5101,5,-0.1170001399030742,1.0271869016938635,1515.0,-6409.0,112,0.4676620281785061,1.0229248979245913
9,132.0,791,bus_3542,3,-0.2763554851827254,1.0562992203391617,-863.0,4082.0,791,-0.0441440247931902,1.0702609377578856
8,132.0,372,bus_3516,3,-0.4639769644821168,1.0051966808891657,-1236.0,6747.0,372,-0.1143821832171034,1.010472247043
13,66.0,34,bus_4248,4,0.983084713065989,1.023052143156055,-2385.0,-2413.0,34,0.0586593968884481,1.4169980385637522
6,66.0,1918,bus_2230,2,-0.4511897737458787,1.0072607088300465,308.0,-4195.0,1918,0.1752583219291478,1.007261480297361
10,132.0,1665,bus_3289,3,-0.113151360822875,1.0721415632517772,2003.0,3151.0,1665,-0.7612091390745704,1.066127246381934
15,6.6,137,bus_5176,5,-0.1028923343175085,1.0143619005773583,1927.0,-6405.0,137,0.4901382972869185,1.009535559798232
14,11.0,590,bus_4445,4,0.978688366675873,0.9948783990841044,-2376.0,-3188.0,590,0.1115500007955107,1.4752823440416545
8,132.0,55,starbus_xf_3486_3561_3489_3,3,-0.3173164943294993,0.9944273720849908,-740.0,6362.0,55,-0.0969448499353667,0.9935584083015272
11,11.0,323,bus_3361,3,-0.4815567330646236,1.0041982527165227,-1100.0,3528.0,323,-0.5470226156640859,0.8723590647014311
11,110.0,1628,starbus_xf_3379_3380_3381_3,3,-0.3405264473209046,1.0679610827774362,31.0,2780.0,1628,-0.2420099498701733,1.0066060403457358
13,66.0,17,bus_4323,4,0.9742739182362796,1.0700695957190935,-1926.0,-2226.0,17,0.1066093473542629,1.406321662942316
2,330.0,243,bus_1066,1,-0.259838165829673,1.0480940974120725,679.0,322.0,243,-0.2040666781122931,1.0503746179389115
