bus_names,x,y
bus_4150,-2282,-1835
bus_4271,-2313,-3113
bus_1000,-238,-725
bus_1530,952,-714
bus_5143,1008,-5612
bus_4266,-2234,-3018
bus_4295,-1997,-2284
bus_1611,2223,2165
bus_1501,73,-156
bus_4446,-2382,-3109
bus_3213,-1492,2904
bus_3496,-944,3422
bus_3400,-1828,2098
bus_1234,33,394
starbus_xf_4160_4097_4401_1,-3689,-1737
bus_2349,-382,-3237
bus_4323,-1926,-2226
bus_4279,-2083,-2441
bus_3327,-1344,2103
bus_4265,-2167,-3907
bus_1304,-1185,2158
bus_1617,2829,2850
bus_4467,-1686,-3006
bus_3124,-1374,2374
bus_1023,1660,-1072
bus_4168,-3294,-1435
bus_2293,779,-2299
bus_1211,698,-2614
bus_2224,1013,-4025
bus_1022,1461,-880
bus_1167,844,-2351
bus_1573,2193,2397
bus_4210,-1444,-1776
bus_4248,-2385,-2413
bus_4329,-1670,-2053
starbus_xf_4038_4035_4036_2,-2644,-2675
bus_2256,907,-2953
bus_5105,621,-6579
bus_2179,280,-3311
bus_2350,216,-3308
bus_1260,359,712
bus_2281,170,-3726
bus_3304,138,3156
bus_5170,1031,-5503
bus_3453,-1945,6842
bus_1040,1374,-1592
bus_2207,729,-3348
bus_3615,621,3932
starbus_xf_1430_1502_1542_1,243,911
bus_1117,764,27
bus_1380,808,1383
bus_1034,1244,1161
bus_4306,-1608,-3338
bus_4464,-1626,-3336
starbus_xf_3486_3561_3489_3,-1211,6608
bus_4033,-2699,-2747
bus_1602,1770,1218
bus_1057,651,-2373
bus_1330,1322,-444
bus_3655,411,2945
bus_1016,2806,2270
bus_5021,1400,-6283
bus_1179,398,-61
bus_1371,683,-534
bus_4451,-2149,-2453
bus_5062,1689,-5561
bus_1561,686,-2685
bus_2020,762,-1940
bus_2277,1059,-3919
bus_4132,-2547,-2226
bus_4379,-2084,-4020
bus_4438,-2191,-3149
bus_3625,-1315,2864
bus_5175,1142,-6389
bus_5221,1131,-5961
bus_4053,-1976,-2688
bus_5139,1012,-5664
starbus_xf_3266_3154_3155_1,544,4081
bus_1610,1095,-676
bus_3340,-843,2502
starbus_xf_3359_3360_3361_3,-1519,3506
bus_1013,352,-1214
bus_1625,329,-115
bus_1658,2806,2717
bus_3066,-890,5735
bus_3139,552,4200
starbus_xf_3486_3561_3488_2,-1211,6608
bus_3583,-943,2658
bus_5235,437,-6122
starbus_xf_3333_3336_3335_3,-26,3018
bus_1521,-163,-667
bus_1264,470,465
bus_3094,-1895,6824
bus_1018,1011,651
bus_4138,-955,-2336
bus_4402,-3245,-1797
bus_5063,1434,-5510
bus_2029,780,-1912
bus_3529,-1282,6854
bus_2290,810,-3479
bus_4209,-1518,-1647
bus_5187,1632,-5585
bus_5087,1139,-6349
bus_5020,1454,-6257
bus_4170,-3108,-1515
bus_1204,2049,-1463
bus_3572,-602,2881
bus_5188,1749,-5589
bus_1409,-38,-133
bus_4189,-2270,-1492
bus_1283,872,1361
bus_5101,715,-6409
bus_1020,911,407
bus_4485,-2511,-2370
bus_1088,1869,1222
bus_1594,2721,2689
bus_3057,-1079,2961
bus_4400,-3762,-1734
bus_4473,-1505,-3127
bus_2233,609,-4180
bus_4486,-1784,-2804
bus_4414,-2087,-2646
starbus_xf_4031_4028_4027_2,-2169,-2688
bus_1570,691,-287
bus_3567,-813,3546
bus_4363,-2757,-1977
bus_4326,-2067,-3191
bus_2236,324,-3947
bus_1556,507,-416
bus_1002,752,809
bus_3642,-990,6975
bus_1086,-670,558
starbus_xf_5090_5200_5201_5,898,-6262
bus_4357,-2980,-1919
bus_3000,-172,5490
bus_5099,1379,-6154
bus_5176,1127,-6405
bus_2333,800,-2378
bus_3543,-685,3675
bus_2113,805,-3646
bus_5060,1696,-5591
bus_3187,-1347,4373
bus_3519,-885,3246
bus_3032,-1667,5002
bus_4052,-1991,-2671
bus_5159,614,-6127
bus_3356,-226,3209
bus_4390,-1258,-2001
bus_1310,431,-841
bus_3459,-912,6796
starbus_xf_4254_4377_4432_1,-2249,-3731
bus_4083,-908,-3252
bus_3228,-1112,3466
bus_5100,1251,-6125
bus_2065,1372,-4478
bus_4267,-2182,-3328
bus_5083,1281,-6304
bus_3494,-496,5364
bus_1123,554,-7
bus_3184,-1482,4608
bus_4249,-2040,-3485
bus_3064,-1253,5859
bus_3446,-503,2553
bus_1509,93,860
bus_3569,-704,5136
bus_3456,-1938,6945
bus_2216,91,-3833
bus_3163,-544,2719
bus_1183,820,1294
bus_1189,732,-450
bus_4472,-1519,-3336
bus_3217,116,5044
bus_4043,-2428,-1596
bus_3099,-923,2943
bus_4142,-1751,-2289
bus_4165,-3288,-1647
bus_4101,-707,-2550
bus_5189,1759,-5548
bus_1565,1522,-1083
bus_1635,628,70
bus_1256,1914,1815
bus_1651,-1124,2030
bus_3257,-1591,2968
bus_4027,-2243,-2743
bus_3312,-877,4131
bus_3640,-570,4803
bus_1354,-379,380
bus_3167,-673,5521
bus_1553,1168,-486
bus_1653,3,451
bus_1397,927,1615
bus_2335,950,-4005
bus_3238,-487,4295
bus_3241,-826,5825
bus_4311,-1657,-2805
bus_1226,1876,1777
bus_1571,592,-338
bus_3310,-1011,7028
bus_3150,10,5394
bus_4374,-2669,-784
bus_3230,-639,3166
bus_3335,52,3029
bus_4386,-1471,-1726
bus_4261,-1550,-3288
bus_1164,1958,2291
bus_3128,-1275,6726
starbus_xf_1092_1093_1525_1,703,257
bus_4358,-2996,-1862
bus_3486,-1211,6608
bus_1059,2213,-1829
bus_1172,1175,-2112
bus_2241,1104,-4052
bus_3091,-1678,7426
starbus_xf_1428_1501_1540_2,156,-160
bus_3180,-1556,7407
bus_4401,-3745,-1757
bus_3288,1330,4476
bus_2342,-281,-3625
bus_2250,460,-3926
bus_3292,-1362,6928
bus_1207,1327,1555
bus_3176,-1094,5419
bus_1656,-607,496
bus_1436,-674,-304
bus_3101,-1438,4311
bus_4215,-1229,-2017
bus_4394,-882,-2787
bus_3448,-1867,7466
bus_2136,900,-4034
bus_3090,-1797,7360
bus_2096,144,-4164
bus_5209,677,-6458
bus_4490,-2624,-2161
bus_4195,-2613,-1157
bus_2078,-482,-3533
bus_5201,850,-6309
bus_5125,1608,-5594
bus_2186,933,-3922
bus_5225,944,-6257
bus_3153,-1020,5304
bus_3024,120,3768
bus_1595,2865,2748
bus_1066,679,322
bus_1254,673,-588
bus_2199,1007,-3430
bus_1393,580,-475
bus_4049,-2992,-1827
bus_1623,1924,1854
bus_3197,-1105,5940
bus_4338,-1897,-2008
bus_4221,-921,-2976
bus_4302,-1637,-3056
bus_4171,-2650,-1357
bus_3005,-1475,6850
bus_1058,1202,-890
bus_1539,71,-177
bus_4404,-3241,-1776
bus_5019,1528,-6369
bus_1446,870,910
bus_4077,-926,-2803
bus_4114,-2627,-1902
bus_5119,1073,-5646
bus_3307,-1599,2101
bus_4182,-3298,-1459
bus_4227,-2622,-1418
bus_4192,-2129,-1569
bus_3196,-1067,5850
starbus_xf_3492_3565_3494_2,-453,5410
bus_1111,228,214
bus_4226,-2009,-3012
bus_1498,-1114,1955
bus_5212,593,-6670
bus_3264,-1446,4647
bus_3634,-1330,4261
bus_2210,430,-4263
bus_1588,1210,-2379
bus_1596,2982,2814
bus_1294,2122,-1315
bus_1483,927,178
bus_4117,-2144,-1797
bus_4348,-4001,-1850
bus_1364,985,1738
bus_1222,559,-2881
bus_4066,-2002,-3402
bus_1432,403,-107
bus_1161,821,-196
bus_3169,-1204,5918
bus_5173,301,-5861
bus_2038,1263,-4302
bus_1051,776,532
bus_5111,1123,-6149
bus_1004,687,561
bus_3367,-1314,2549
bus_3003,-1473,6366
bus_1203,786,1440
bus_3573,-314,4388
bus_5001,937,-4778
starbus_xf_4220_4074_4498_3,-898,-2745
bus_2068,1328,-4651
bus_3007,-1409,2892
bus_3107,-1049,5444
bus_2104,449,-4098
bus_1208,2398,-1573
bus_5014,558,-5358
bus_1318,671,-2297
bus_3425,-271,3717
bus_3593,-613,3347
bus_1322,1778,1737
bus_3372,-1609,3477
bus_1374,467,-265
bus_2121,924,-3962
bus_2205,-357,-3142
bus_4072,-993,-2257
bus_2013,1038,-2962
bus_3245,-1281,6365
bus_4185,-2132,-986
bus_5026,1317,-6224
bus_5034,929,-5929
bus_1076,1462,-1510
bus_5038,1082,-5891
bus_3328,-1388,2149
bus_3472,-489,2977
bus_3001,-918,5722
bus_3361,-1600,3528
bus_4375,-2759,-629
starbus_xf_5090_5200_5201_6,898,-6262
bus_3010,-1345,4055
bus_1626,355,-490
bus_2299,401,-3462
bus_2093,966,-3987
bus_1273,2120,2328
starbus_xf_4160_4097_4400_2,-3689,-1737
bus_1005,662,546
bus_4493,-3398,-1834
bus_4232,-2474,-3181
bus_1450,2287,-1477
bus_2168,854,-3647
bus_2175,-166,-3350
bus_2285,927,-3645
bus_3127,1094,4307
bus_3589,-744,2835
starbus_xf_1121_1123_1634_6,715,112
bus_3223,-1320,7005
bus_1103,1446,-1310
bus_1482,860,-1643
bus_3194,-1502,6107
bus_5174,1161,-6383
bus_5071,889,-5317
bus_1181,1020,-850
bus_3131,-1005,3251
bus_3206,-1033,3534
bus_4436,-2029,-4085
bus_4334,-1759,-2530
bus_1619,2832,2870
bus_1344,1490,-430
starbus_xf_1106_1167_1537_4,963,-2129
bus_1102,1404,-1052
starbus_xf_4186_4230_4494_1,-2151,-876
bus_4149,-1481,-2118
bus_2188,1076,-4331
bus_4169,-3172,-1760
bus_3285,-1065,5797
bus_4399,-2620,-2183
bus_1155,368,-101
bus_1200,528,-55
bus_1529,1191,-613
bus_3082,-1973,6964
bus_1519,-62,-589
bus_3041,102,5025
bus_3126,1102,4287
bus_5226,954,-6264
bus_2294,426,-4322
bus_3516,-1736,6747
bus_1642,1409,2464
bus_1121,715,112
bus_4139,-952,-2323
bus_4440,-2215,-3825
bus_3447,-653,5533
bus_1464,1318,1531
bus_3136,-1068,2461
bus_1029,1319,-847
bus_2150,592,-4392
bus_4184,-2137,-1434
bus_2313,52,-4501
bus_4089,-3041,-1585
bus_1375,112,-493
starbus_xf_5093_5202_5203_1,958,-6360
bus_4484,-1910,-3215
bus_3247,-1408,6145
bus_3612,421,3575
bus_2314,-424,-3362
bus_3629,-1873,6871
bus_4024,-3059,-1328
bus_4143,-2306,-1996
bus_4196,-2527,-1019
bus_4081,-993,-3168
