geometry,name,from_bus,to_bus,transformer
"LINESTRING (-1315 2864, -1409 2892)",xf_3625_to_3007_2_2winding_transformer,bus_3625,bus_3007,true
"LINESTRING (747 -2705, 782 -3231)",xf_2194_to_2171_2_2winding_transformer,bus_2192,bus_2171,true
"LINESTRING (16 -3858, -3 -3934)",xf_2228_to_2011_2_2winding_transformer,bus_2228,bus_2011,true
"LINESTRING (138 3156, 66 3102)",xf_3302_3304_3303_3_3winding_transformer_br2,bus_3304,starbus_xf_3302_3304_3303_3,true
"LINESTRING (-1313 4068, -1177 4045)",line_3009_to_3475_2_cp,bus_3009,bus_3475,false
"LINESTRING (-2291 -2954, -2358 -3007)",xf_4275_to_4450_2_2winding_transformer,bus_4275,bus_4450,true
"LINESTRING (867 -1329, 816 -1464)",line_1206_to_1646_1_cp_merged_with_line_1365_to_1646_1_pi,bus_1206,bus_1365,false
"LINESTRING (-2757 -1977, -2820 -2020)",xf_4363_to_4018_1_2winding_transformer,bus_4363,bus_4018,true
"LINESTRING (-2551 -2153, -2624 -2161)",xf_4344_to_4490_2_2winding_transformer,bus_4344,bus_4490,true
"LINESTRING (747 -2705, 805 -3201)",xf_2194_to_2170_3_2winding_transformer,bus_2192,bus_2170,true
"LINESTRING (-1965 -3341, -1978 -3523)",xf_4331_to_4431_1_2winding_transformer,bus_4252,bus_4431,true
"LINESTRING (-1727 -1560, -1518 -1647)",line_4208_to_4209_1_cp,bus_4207,bus_4209,false
"LINESTRING (-3172 -1760, -3384 -1875)",xf_4181_to_4406_4_2winding_transformer,bus_4169,bus_4406,true
"LINESTRING (340 -3787, 336 -3883)",xf_2128_to_2237_3_2winding_transformer,bus_2128,bus_2237,true
"LINESTRING (-600 3049, -744 2835)",line_3545_to_3589_1_cp,bus_3545,bus_3589,false
"LINESTRING (-434 2896, -478 2930)",line_3338_to_3471_2_cp,bus_3338,bus_3471,false
"LINESTRING (805 -3201, 810 -3479)",xf_2182_to_2290_5_2winding_transformer,bus_2170,bus_2290,true
"LINESTRING (407 -4312, 411 -4225)",line_2218_to_2221_1_cp,bus_2218,bus_2221,false
"LINESTRING (877 -4079, 871 -4184)",xf_2167_to_2103_8_2winding_transformer,bus_2167,bus_2103,true
"LINESTRING (778 -5332, 722 -5364)",xf_5070_to_5192_5_2winding_transformer,bus_5070,bus_5192,true
"LINESTRING (904 -5344, 778 -5332)",xf_5153_to_5070_2_2winding_transformer,bus_5150,bus_5070,true
"LINESTRING (-1315 2864, -1562 2879)",line_3252_to_3625_1_cp_merged_with_xf_3252_to_3466_1_2winding_transformer,bus_3625,bus_3466,true
"LINESTRING (-704 5136, -570 4803)",line_3569_to_3640_1_cp,bus_3569,bus_3640,false
"LINESTRING (825 368, 911 407)",xf_1099_to_1020_7_2winding_transformer,bus_1099,bus_1020,true
"LINESTRING (1404 -1052, 1232 -816)",line_1102_to_1114_1_cp,bus_1102,bus_1114,false
"LINESTRING (904 -5344, 778 -5332)",xf_5153_to_5070_1_2winding_transformer,bus_5150,bus_5070,true
"LINESTRING (1823 2202, 1948 2390)",line_1159_to_1637_1_cp,bus_1159,bus_1026,false
"LINESTRING (468 -410, 592 -338)",xf_1434_to_1571_1_2winding_transformer,bus_1434,bus_1571,true
"LINESTRING (94 -4418, 110 -4266)",line_2269_to_2351_1_cp,bus_2269,bus_2351,false
"LINESTRING (1491 2184, 1748 2235)",line_1095_to_1104_1_cp,bus_1011,bus_1104,false
"LINESTRING (695 -1458, 758 -1418)",line_1315_to_1324_1_cp,bus_1315,bus_1324,false
