name,ln_type,area_from,area_to,power
bus_1189-bus_1289-i_line_1189_to_1469_2_cp,ACLine,2,3,231.0
bus_1113-bus_2195-i_line_1113_to_2195_1_cp,ACLine,4,5,677.0
bus_2145-bus_2179-i_line_2145_to_2179_1_cp,ACLine,6,5,301.0
bus_2199-bus_2202-i_line_2199_to_2202_2_cp,ACLine,6,7,1498.0
bus_1110-bus_1140-i_line_1110_to_1511_1_cp,ACLine,2,3,877.0
bus_4190-bus_4193-i_line_4190_to_4193_1_cp,ACLine,12,13,162.0
bus_3568-bus_3624-i_line_3568_to_3624_2_cp,ACLine,11,9,740.0
bus_3289-bus_3540-i_line_3289_to_3540_1_cp,ACLine,10,9,210.0
bus_2208-bus_2200-i_connection V4_3,ACLine,6,5,1520.0
bus_1239-bus_1241-i_line_1239_to_1394_1_cp,ACLine,1,2,184.0
bus_1189-bus_1215-i_line_1189_to_1215_1_cp,ACLine,2,3,271.0
bus_2121-bus_2181-i_line_2163_to_2181_1_cp,ACLine,6,7,574.0
bus_2164-bus_2186-i_line_2164_to_2186_2_cp,ACLine,6,7,428.0
bus_3540-bus_1304-i_DIRECTLINK_2,HVDCLine,11,9,60.0
bus_1011-bus_1145-i_line_1095_to_1145_1_cp,ACLine,1,2,689.0
bus_4131-bus_4149-i_line_4131_to_4149_1_cp,ACLine,13,14,555.0
bus_2164-bus_2186-i_line_2164_to_2186_4_cp,ACLine,6,7,429.0
bus_4123-bus_4292-i_Dec14_line_4123_to_4292_1_dec,ACLine,13,14,131.0
bus_4300-bus_4319-i_line_4308_to_4319_1_cp,ACLine,13,14,90.0
bus_2199-bus_2202-i_line_2199_to_2202_3_cp,ACLine,6,7,1518.0
bus_2208-bus_2200-i_connection V4,ACLine,6,5,1520.0
bus_2203-bus_2208-i_line_2203_to_2208_2_cp,ACLine,6,5,1533.0
bus_4210-bus_4213-i_line_4210_to_4213_1_cp,ACLine,13,14,165.0
bus_3001-bus_3167-i_line_3065_to_3167_1_cp,ACLine,8,9,177.0
bus_1305-bus_1320-i_line_1305_to_1320_1_cp,ACLine,2,3,273.0
bus_1109-bus_3650-i_line_1109_to_3650_1_cp,ACLine,1,11,882.0
bus_2203-bus_2208-i_line_2203_to_2208_1_cp,ACLine,6,5,1472.0
bus_3539-bus_3540-i_line_3539_to_3540_1_cp,ACLine,10,9,271.0
bus_4275-bus_4289-i_Dec22_line_4275_to_4289_1_dec,ACLine,13,14,114.99999999999999
bus_1119-bus_1158-i_line_1119_to_1158_1_cp,ACLine,4,2,697.0
bus_1105-bus_1114-i_line_1105_to_1114_1_cp,ACLine,4,2,691.0
bus_1189-bus_1289-i_line_1189_to_1470_1_cp,ACLine,2,3,314.0
bus_3543-bus_3547-i_line_3543_to_3547_1_cp,ACLine,11,9,535.0
bus_1218-bus_3405-i_line_1218_to_3473_2_cp,ACLine,1,11,114.99999999999999
bus_2162-bus_2355-i_MURRAYLINK,HVDCLine,13,5,220.00000000000003
bus_3540-bus_1304-i_DIRECTLINK_3,HVDCLine,11,9,60.0
bus_2106-bus_2177-i_line_2106_to_2177_1_cp,ACLine,6,5,311.0
bus_1212-bus_1309-i_line_1212_to_1309_1_cp,ACLine,2,3,184.0
bus_1098-bus_1125-i_line_1098_to_1125_1_cp,ACLine,4,2,656.0
bus_3558-bus_3591-i_line_3558_to_3591_2_cp,ACLine,8,9,684.0
bus_3539-bus_3540-i_line_3539_to_3540_2_cp,ACLine,10,9,280.0
bus_4107-bus_4111-i_line_4107_to_4111_1_cp,ACLine,12,13,530.0
bus_2158-bus_2164-i_line_2158_to_2164_1_cp,ACLine,6,7,375.0
bus_2206-bus_2202-i_connection V5,ACLine,6,7,1520.0
bus_2216-bus_2240-i_line_2216_to_2240_1_cp,ACLine,6,5,46.0
bus_1236-bus_1252-i_line_1236_to_1491_1_cp,ACLine,2,3,179.0
bus_1289-bus_1393-i_line_1391_to_1393_1_cp,ACLine,2,3,196.0
bus_1109-bus_3650-i_line_1109_to_3650_2_cp,ACLine,1,11,881.0
bus_1232-bus_1189-i_line_1232_to_1440_1_cp,ACLine,2,3,269.0
bus_4137-bus_4149-i_line_4146_to_4149_1_cp,ACLine,13,14,578.0
bus_2202-bus_5149-i_BASSLINK,HVDCLine,15,7,509.99999999999994
bus_1112-bus_1152-i_line_1112_to_1152_1_cp,ACLine,2,3,745.0
bus_1011-bus_1145-i_line_1095_to_1145_2_cp,ACLine,1,2,601.0
bus_1118-bus_2191-i_line_1118_to_2191_1_cp,ACLine,4,5,645.0
bus_2105-bus_2106-i_connection V2_2,ACLine,6,5,1520.0
bus_1218-bus_3405-i_line_1218_to_3473_1_cp,ACLine,1,11,112.00000000000001
bus_2196-bus_4101-i_line_2196_to_4151_2_cp,ACLine,5,14,521.0
bus_1119-bus_1158-i_line_1119_to_1158_2_cp,ACLine,4,2,674.0
bus_2196-bus_4101-i_line_2196_to_4151_1_cp,ACLine,5,14,517.0
bus_3540-bus_1304-i_DIRECTLINK_1,HVDCLine,11,9,60.0
bus_1140-bus_1569-i_line_1141_to_1569_1_cp,ACLine,2,3,690.0
bus_1310-bus_1433-i_line_1310_to_1433_1_cp,ACLine,4,2,143.0
bus_2208-bus_2200-i_connection V4_2,ACLine,6,5,1520.0
bus_3289-bus_3540-i_line_3289_to_3540_2_cp,ACLine,10,9,206.99999999999997
bus_1326-bus_1289-i_line_1326_to_1391_1_cp,ACLine,2,3,217.0
bus_3568-bus_3624-i_line_3568_to_3624_4_cp,ACLine,11,9,712.0
bus_2164-bus_2186-i_line_2164_to_2186_3_cp,ACLine,6,7,416.0
bus_1212-bus_1289-i_line_1212_to_1391_1_cp,ACLine,2,3,184.0
bus_1112-bus_1140-i_line_1112_to_1140_1_cp,ACLine,2,3,772.0
bus_4107-bus_4111-i_line_4107_to_4111_2_cp,ACLine,12,13,588.0
bus_1221-bus_1189-i_line_1221_to_1441_1_cp,ACLine,2,3,266.0
bus_2206-bus_2202-i_connection V5_2,ACLine,6,7,1520.0
bus_4031-bus_4307-i_line_4091_to_4307_1_cp,ACLine,13,14,112.00000000000001
bus_3568-bus_3624-i_line_3568_to_3624_1_cp,ACLine,11,9,720.0
bus_2158-bus_2164-i_line_2158_to_2164_2_cp,ACLine,6,7,386.0
bus_2198-bus_5150-i_connection MARINUS,HVDCLine,6,15,750.0
bus_2105-bus_2106-i_connection V2_3,ACLine,6,5,1520.0
bus_3607-bus_3624-i_line_3607_to_3624_1_cp,ACLine,10,9,741.0
bus_1269-bus_1189-i_line_1271_to_1440_1_cp,ACLine,2,3,270.0
bus_1232-bus_1189-i_line_1232_to_1440_2_cp,ACLine,2,3,283.0
bus_2206-bus_2202-i_connection V5_1,ACLine,6,7,1520.0
bus_1186-bus_1289-i_line_1186_to_1231_1_cp_merged_with_line_1231_to_1391_1_cp,ACLine,2,3,233.0
bus_1212-bus_1289-i_line_1212_to_1391_2_cp,ACLine,2,3,193.0
bus_2105-bus_2106-i_connection V2,ACLine,6,5,1520.0
bus_2198-bus_5150-i_connection MARINUS_1,HVDCLine,6,15,750.0
bus_4176-bus_4190-i_line_4176_to_4191_1_cp,ACLine,12,13,162.0
bus_2199-bus_2202-i_line_2199_to_2202_1_cp,ACLine,6,7,1534.0
bus_3558-bus_3591-i_line_3558_to_3591_3_cp,ACLine,8,9,727.0
bus_3558-bus_3591-i_line_3558_to_3591_1_cp,ACLine,8,9,543.0
bus_1333-bus_1483-i_line_1333_to_1483_1_cp,ACLine,2,3,163.0
bus_3543-bus_3556-i_line_3543_to_3556_1_cp,ACLine,11,9,509.99999999999994
bus_2208-bus_2200-i_connection V4_1,ACLine,6,5,1520.0
