name,duid,bus_name,area,energy_rating,energy,bus_index,charge_efficiency,year_added,datetime
RESS1,RESS1,bus_1314,4,1.2,0.6,1867,0.9,2025,2025-12-01
DPNTB1,DPNTB1,bus_1314,4,0.5,0.25,1867,0.9,2025,2025-12-01
BALB1,BALB1,bus_2102,4,0.3,0.5,1118,0.9,2025,2025-12-01
Shallow_storage,Shallow storage,bus_1240,2,30.8278806424,30.8278806424,733,0.9,2025,2025-12-01
BULBES1,BULBES1,bus_2203,5,1.0,0.5,1891,0.9,2025,2025-12-01
KEPBG1,KEPBG1,bus_3626,8,0.04,0.04,1716,0.9,2025,2025-12-01
Coordinated_CER_storage,Coordinated CER storage,bus_3633,11,5.7884209992,5.7884209992,1389,0.9,2025,2025-12-01
Passive_CER_storage,Passive CER storage,bus_4257,14,5.575649213299999,5.575649213299999,649,0.9,2025,2025-12-01
Medium_storage,Medium storage,bus_1120,2,78.8475938256,78.8475938256,1427,0.9,2025,2025-12-01
BHB1,BHB1,bus_1324,4,0.5,0.5,1615,0.9,2025,2025-12-01
SNB01,SNB01,bus_3624,9,6.2,6.2,1445,0.9,2025,2025-12-01
RIVNB2,RIVNB2,bus_1314,4,1.3,0.65,1867,0.9,2025,2025-12-01
CAPBES1,CAPBES1,bus_1365,4,2.0,1.0,584,0.9,2025,2025-12-01
Coordinated_CER_storage_2,Coordinated CER storage,bus_4226,14,3.7418188008,3.7418188008,270,0.9,2025,2025-12-01
Deep_storage,Deep storage,bus_1119,2,62.71000000000001,62.71000000000001,1910,0.9,2025,2025-12-01
Medium_storage_2,Medium storage,bus_3568,11,77.0,77.0,636,0.9,2025,2025-12-01
QBYNB1,QBYNB1,bus_1199,4,0.2,0.1,582,0.9,2025,2025-12-01
MREHA3,MREHA3,bus_2208,6,8.0,4.0,1532,0.9,2025,2025-12-01
TEMPB1,TEMPB1,bus_4150,13,2.91,1.0,1,0.9,2025,2025-12-01
Passive_CER_storage_2,Passive CER storage,bus_5100,15,0.976812188,0.976812188,154,0.9,2025,2025-12-01
TIB1,TIB1,bus_4125,13,2.5,1.6,809,0.9,2025,2025-12-01
TB2B1,TB2B1,bus_4109,13,0.84,0.6,1778,0.9,2025,2025-12-01
Shallow_storage_2,Shallow storage,bus_4125,13,15.8738,15.8738,809,0.9,2025,2025-12-01
Medium_storage_3,Medium storage,bus_2146,6,14.0,14.0,614,0.9,2025,2025-12-01
PIBESS1,PIBESS1,bus_2086,7,1.0,0.5,1948,0.9,2025,2025-12-01
LIMBESS1,LIMBESS1,bus_1383,4,4.0,0.5,1865,0.9,2025,2025-12-01
Passive_CER_storage_3,Passive CER storage,bus_2214,6,11.34122797,11.34122797,1269,0.9,2025,2025-12-01
SWANBBF1,SWANBBF1,bus_3589,11,5.0,5.0,340,0.9,2025,2025-12-01
CHBESS1,CHBESS1,bus_3075,11,2.0,1.0,1796,0.9,2025,2025-12-01
SMTHBES1,SMTHBES1,bus_1634,2,1.3,1.0,1596,0.9,2025,2025-12-01
TARBESS1,TARBESS1,bus_3543,11,6.0,5.0,139,0.9,2025,2025-12-01
Coordinated_CER_storage_3,Coordinated CER storage,bus_1289,3,9.980390000199998,9.980390000199998,1367,0.9,2025,2025-12-01
CBWWBA1,CBWWBA1,bus_4116,13,0.0432,0.01,1594,0.9,2025,2025-12-01
BBATTERY1,BBATTERY1,bus_3482,8,1.0,1.0,1761,0.9,2025,2025-12-01
